source_hash,binary_sha256,command,cpu_system_s,cpu_user_s,cutoff_seconds,exit_code,peak_rss_kib,started_utc,status,stderr,stdout,usage,wall_ms
2bc1f47ab093abdad02e748b2f216e953cf3e0c1f31f97c307e11f9e11022340,79459161df26dc25b61a46fac3267e511d64d44053017c9a1f3a9529bc5f5e31,"['souffle', '-j', '1', '-o', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/compiled/2bc1f47ab093abdad02e748b2f216e953cf3e0c1f31f97c307e11f9e11022340/program', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/inputs/comparison-chain-8-backward-s83-d10-m1-verdict/input.dl']",0.58,8.35,300,0,493896,2026-09-14T08:57:53.071999+00:00,ok,paper/results/evaluation/compiled/2bc1f47ab093abdad02e748b2f216e953cf3e0c1f31f97c307e11f9e11022340/compile.stderr,paper/results/evaluation/compiled/2bc1f47ab093abdad02e748b2f216e953cf3e0c1f31f97c307e11f9e11022340/compile.stdout,paper/results/evaluation/compiled/2bc1f47ab093abdad02e748b2f216e953cf3e0c1f31f97c307e11f9e11022340/compile.time,9101.421882000068
3ec63e26d5cc7eada1520531e4ab82edda429dd0d5ab4e26674e60c71b1a7187,8ba291048cf3fbc69690d25098349cd17ba500fbe013ee6db84b3cbb0181e851,"['souffle', '-j', '1', '-o', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/compiled/3ec63e26d5cc7eada1520531e4ab82edda429dd0d5ab4e26674e60c71b1a7187/program', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/inputs/comparison-chain-16-forward-s23-d10-m1-verdict/input.dl']",0.62,8.59,300,0,493932,2026-09-14T08:54:55.177063+00:00,ok,paper/results/evaluation/compiled/3ec63e26d5cc7eada1520531e4ab82edda429dd0d5ab4e26674e60c71b1a7187/compile.stderr,paper/results/evaluation/compiled/3ec63e26d5cc7eada1520531e4ab82edda429dd0d5ab4e26674e60c71b1a7187/compile.stdout,paper/results/evaluation/compiled/3ec63e26d5cc7eada1520531e4ab82edda429dd0d5ab4e26674e60c71b1a7187/compile.time,9402.430289999756
406f466145ba7605a16b580b77d2fe7b1bb6130e3043703d22fbe53edc75bf55,602e8454a8d1efdd0ac42e497349cea29784010120de5e583f0f982a8dd5d423,"['souffle', '-j', '1', '-o', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/compiled/406f466145ba7605a16b580b77d2fe7b1bb6130e3043703d22fbe53edc75bf55/program', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/inputs/comparison-chain-16-backward-s47-d10-m1-verdict/input.dl']",0.61,8.38,300,0,493928,2026-09-14T08:58:11.594027+00:00,ok,paper/results/evaluation/compiled/406f466145ba7605a16b580b77d2fe7b1bb6130e3043703d22fbe53edc75bf55/compile.stderr,paper/results/evaluation/compiled/406f466145ba7605a16b580b77d2fe7b1bb6130e3043703d22fbe53edc75bf55/compile.stdout,paper/results/evaluation/compiled/406f466145ba7605a16b580b77d2fe7b1bb6130e3043703d22fbe53edc75bf55/compile.time,9171.077625998805
4a874c59d45cd67f1957dc5684c1919626d67b577305cdb67a8aeaf42c68173c,95e278648aff86c5165eba29efedfc8332c296515153b776df1bf2dd77026806,"['souffle', '-j', '1', '-o', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/compiled/4a874c59d45cd67f1957dc5684c1919626d67b577305cdb67a8aeaf42c68173c/program', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/inputs/comparison-chain-4-backward-s23-d10-m1-verdict/input.dl']",0.62,8.21,300,0,493912,2026-09-14T08:54:08.360438+00:00,ok,paper/results/evaluation/compiled/4a874c59d45cd67f1957dc5684c1919626d67b577305cdb67a8aeaf42c68173c/compile.stderr,paper/results/evaluation/compiled/4a874c59d45cd67f1957dc5684c1919626d67b577305cdb67a8aeaf42c68173c/compile.stdout,paper/results/evaluation/compiled/4a874c59d45cd67f1957dc5684c1919626d67b577305cdb67a8aeaf42c68173c/compile.time,9014.503240001432
5cf125c752361ffd7a700ce7ba26e2f9f1e7ff8476b2c73a88ba8d6005d26844,ed600d4c884e11bf0408f5dd0b4620ac7dac831e8ba44c8e2a07479d680722c7,"['souffle', '-j', '1', '-o', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/compiled/5cf125c752361ffd7a700ce7ba26e2f9f1e7ff8476b2c73a88ba8d6005d26844/program', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/inputs/comparison-chain-4-forward-s83-d10-m1-verdict/input.dl']",0.6,8.37,300,0,493924,2026-09-14T08:54:36.913397+00:00,ok,paper/results/evaluation/compiled/5cf125c752361ffd7a700ce7ba26e2f9f1e7ff8476b2c73a88ba8d6005d26844/compile.stderr,paper/results/evaluation/compiled/5cf125c752361ffd7a700ce7ba26e2f9f1e7ff8476b2c73a88ba8d6005d26844/compile.stdout,paper/results/evaluation/compiled/5cf125c752361ffd7a700ce7ba26e2f9f1e7ff8476b2c73a88ba8d6005d26844/compile.time,9150.663348000307
718e8d0f8c80738a17fce3e5584e6923f567f09e94956a5fc5dc3a33dc51613b,00c68d7cab2949ceb4289e040df4d113ca6341f9b70723fb23c559215a7dcb79,"['souffle', '-j', '1', '-o', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/compiled/718e8d0f8c80738a17fce3e5584e6923f567f09e94956a5fc5dc3a33dc51613b/program', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/inputs/comparison-chain-16-backward-s83-d10-m1-verdict/input.dl']",0.65,8.57,300,0,493912,2026-09-14T08:56:10.136759+00:00,ok,paper/results/evaluation/compiled/718e8d0f8c80738a17fce3e5584e6923f567f09e94956a5fc5dc3a33dc51613b/compile.stderr,paper/results/evaluation/compiled/718e8d0f8c80738a17fce3e5584e6923f567f09e94956a5fc5dc3a33dc51613b/compile.stdout,paper/results/evaluation/compiled/718e8d0f8c80738a17fce3e5584e6923f567f09e94956a5fc5dc3a33dc51613b/compile.time,9429.563666999456
7a10acb09bb808bf11819f3100ef7181a5ac851afdf91a7f53a74a24baa71818,4bb9bdb4be06da0308c8ef19ae3939039b568a3f685bcc8c28dd4b62939f4dfa,"['souffle', '-j', '1', '-o', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/compiled/7a10acb09bb808bf11819f3100ef7181a5ac851afdf91a7f53a74a24baa71818/program', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/inputs/comparison-chain-4-forward-s131-d10-m1-verdict/input.dl']",0.59,8.53,300,0,493896,2026-09-14T08:58:20.772576+00:00,ok,paper/results/evaluation/compiled/7a10acb09bb808bf11819f3100ef7181a5ac851afdf91a7f53a74a24baa71818/compile.stderr,paper/results/evaluation/compiled/7a10acb09bb808bf11819f3100ef7181a5ac851afdf91a7f53a74a24baa71818/compile.stdout,paper/results/evaluation/compiled/7a10acb09bb808bf11819f3100ef7181a5ac851afdf91a7f53a74a24baa71818/compile.time,9287.54447099891
806dbd07852c80a60c22ddd6cbc3c7ce97146619ac1b94dea77377f0cce2e669,15c2194ee306255fa32c395147eb5bc01573cb4afdeddafda005186a766fa427,"['souffle', '-j', '1', '-o', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/compiled/806dbd07852c80a60c22ddd6cbc3c7ce97146619ac1b94dea77377f0cce2e669/program', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/inputs/comparison-chain-8-forward-s23-d10-m1-verdict/input.dl']",0.57,8.3,300,0,493924,2026-09-14T08:53:59.312966+00:00,ok,paper/results/evaluation/compiled/806dbd07852c80a60c22ddd6cbc3c7ce97146619ac1b94dea77377f0cce2e669/compile.stderr,paper/results/evaluation/compiled/806dbd07852c80a60c22ddd6cbc3c7ce97146619ac1b94dea77377f0cce2e669/compile.stdout,paper/results/evaluation/compiled/806dbd07852c80a60c22ddd6cbc3c7ce97146619ac1b94dea77377f0cce2e669/compile.time,9045.260917999258
808c121f4607d2ed35053e71f3d230b1e6b38047ccb2dd4b7368beb7dfb6b9d8,52eb3e6b06a485621ea81dc06337b200867a48d50aa2244fb6319bd3dcbaa028,"['souffle', '-j', '1', '-o', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/compiled/808c121f4607d2ed35053e71f3d230b1e6b38047ccb2dd4b7368beb7dfb6b9d8/program', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/inputs/comparison-chain-32-backward-s131-d10-m1-verdict/input.dl']",0.63,8.4,300,0,494080,2026-09-14T08:58:49.907540+00:00,ok,paper/results/evaluation/compiled/808c121f4607d2ed35053e71f3d230b1e6b38047ccb2dd4b7368beb7dfb6b9d8/compile.stderr,paper/results/evaluation/compiled/808c121f4607d2ed35053e71f3d230b1e6b38047ccb2dd4b7368beb7dfb6b9d8/compile.stdout,paper/results/evaluation/compiled/808c121f4607d2ed35053e71f3d230b1e6b38047ccb2dd4b7368beb7dfb6b9d8/compile.time,9229.64851299912
850ff9302b4924432114b951ed0fee2ace53589541f38ad79497e3c02b3f17bd,7f2263cfea1bdecfb5d7b08bcda9fc2457ea81a295d1e6353ada62dc8ac02432,"['souffle', '-j', '1', '-o', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/compiled/850ff9302b4924432114b951ed0fee2ace53589541f38ad79497e3c02b3f17bd/program', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/inputs/comparison-chain-4-backward-s11-d10-m1-verdict/input.dl']",0.6,8.67,300,0,493912,2026-09-14T08:56:29.316518+00:00,ok,paper/results/evaluation/compiled/850ff9302b4924432114b951ed0fee2ace53589541f38ad79497e3c02b3f17bd/compile.stderr,paper/results/evaluation/compiled/850ff9302b4924432114b951ed0fee2ace53589541f38ad79497e3c02b3f17bd/compile.stdout,paper/results/evaluation/compiled/850ff9302b4924432114b951ed0fee2ace53589541f38ad79497e3c02b3f17bd/compile.time,9467.331396999725
86299aa82c6b73151f56310fe966195ce4b2c10208de657dcf775500912ae4fb,807d64a86bd19b6c9e0597cbf306e1dd50160c103bd41e6bb58c49fa7693209d,"['souffle', '-j', '1', '-o', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/compiled/86299aa82c6b73151f56310fe966195ce4b2c10208de657dcf775500912ae4fb/program', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/inputs/comparison-chain-8-backward-s131-d10-m1-verdict/input.dl']",0.66,8.76,300,0,493644,2026-09-14T08:56:19.602208+00:00,ok,paper/results/evaluation/compiled/86299aa82c6b73151f56310fe966195ce4b2c10208de657dcf775500912ae4fb/compile.stderr,paper/results/evaluation/compiled/86299aa82c6b73151f56310fe966195ce4b2c10208de657dcf775500912ae4fb/compile.stdout,paper/results/evaluation/compiled/86299aa82c6b73151f56310fe966195ce4b2c10208de657dcf775500912ae4fb/compile.time,9712.080073000834
8df265993aff3c7e84d96a90646a4e514239e34c7a9ce9b6eb1902bfbb7102a7,7afeff7d4a9bf61aa01fa07cd431633b6801444bde16e37811a08ba6878e6d35,"['souffle', '-j', '1', '-o', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/compiled/8df265993aff3c7e84d96a90646a4e514239e34c7a9ce9b6eb1902bfbb7102a7/program', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/inputs/comparison-chain-32-backward-s23-d10-m1-verdict/input.dl']",0.62,8.5,300,0,493928,2026-09-14T08:59:45.961304+00:00,ok,paper/results/evaluation/compiled/8df265993aff3c7e84d96a90646a4e514239e34c7a9ce9b6eb1902bfbb7102a7/compile.stderr,paper/results/evaluation/compiled/8df265993aff3c7e84d96a90646a4e514239e34c7a9ce9b6eb1902bfbb7102a7/compile.stdout,paper/results/evaluation/compiled/8df265993aff3c7e84d96a90646a4e514239e34c7a9ce9b6eb1902bfbb7102a7/compile.time,9297.227107999788
994f74b65e33f5f94687e9a1a2867ee83da9a7a713e5df3f27f5821aeb8b2c89,a7878114451145cc4cb30a8214f3e98a47f4ac8ff7d8ec22cc0b304042765acf,"['souffle', '-j', '1', '-o', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/compiled/994f74b65e33f5f94687e9a1a2867ee83da9a7a713e5df3f27f5821aeb8b2c89/program', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/inputs/comparison-chain-16-backward-s11-d10-m1-verdict/input.dl']",0.65,8.46,300,0,493928,2026-09-14T08:56:48.192333+00:00,ok,paper/results/evaluation/compiled/994f74b65e33f5f94687e9a1a2867ee83da9a7a713e5df3f27f5821aeb8b2c89/compile.stderr,paper/results/evaluation/compiled/994f74b65e33f5f94687e9a1a2867ee83da9a7a713e5df3f27f5821aeb8b2c89/compile.stdout,paper/results/evaluation/compiled/994f74b65e33f5f94687e9a1a2867ee83da9a7a713e5df3f27f5821aeb8b2c89/compile.time,9315.363787998649
9b95a5d1f25c6b527cd1c9d3c62efb8341574e77cc2fb91d7efbcdaf6d3c9e62,57e15897326761093a31c162dbf89733c628386c86ad4d1c55e81695e33be6eb,"['souffle', '-j', '1', '-o', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/compiled/9b95a5d1f25c6b527cd1c9d3c62efb8341574e77cc2fb91d7efbcdaf6d3c9e62/program', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/inputs/comparison-chain-32-backward-s11-d10-m1-verdict/input.dl']",0.52,8.38,300,0,493928,2026-09-14T08:57:43.992945+00:00,ok,paper/results/evaluation/compiled/9b95a5d1f25c6b527cd1c9d3c62efb8341574e77cc2fb91d7efbcdaf6d3c9e62/compile.stderr,paper/results/evaluation/compiled/9b95a5d1f25c6b527cd1c9d3c62efb8341574e77cc2fb91d7efbcdaf6d3c9e62/compile.stdout,paper/results/evaluation/compiled/9b95a5d1f25c6b527cd1c9d3c62efb8341574e77cc2fb91d7efbcdaf6d3c9e62/compile.time,9074.983133999922
9d7457c610ba886d4bfa0dfaaee89f6f1fd9ff1bd4780f4fa6136559493b358b,1471eab67bd411c339572b11bcbc140a0021bdf31fe507965f3b1c0c7a9d15cd,"['souffle', '-j', '1', '-o', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/compiled/9d7457c610ba886d4bfa0dfaaee89f6f1fd9ff1bd4780f4fa6136559493b358b/program', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/inputs/comparison-chain-12-forward-s131-d10-m1-verdict/input.dl']",0.58,8.28,300,0,493940,2026-09-14T08:57:15.876571+00:00,ok,paper/results/evaluation/compiled/9d7457c610ba886d4bfa0dfaaee89f6f1fd9ff1bd4780f4fa6136559493b358b/compile.stderr,paper/results/evaluation/compiled/9d7457c610ba886d4bfa0dfaaee89f6f1fd9ff1bd4780f4fa6136559493b358b/compile.stdout,paper/results/evaluation/compiled/9d7457c610ba886d4bfa0dfaaee89f6f1fd9ff1bd4780f4fa6136559493b358b/compile.time,9062.340537000637
a06d06d5ef7673b35734d38a81f9e71615bcbf52c1e8549f88e8e7a7bf6b9e16,bbef6743b690bdbda452ffb7cedff5962c3bca16f6d63b4d982eebd9f895aae8,"['souffle', '-j', '1', '-o', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/compiled/a06d06d5ef7673b35734d38a81f9e71615bcbf52c1e8549f88e8e7a7bf6b9e16/program', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/inputs/comparison-chain-16-forward-s83-d10-m1-verdict/input.dl']",0.62,8.6,300,0,493940,2026-09-14T08:55:31.445271+00:00,ok,paper/results/evaluation/compiled/a06d06d5ef7673b35734d38a81f9e71615bcbf52c1e8549f88e8e7a7bf6b9e16/compile.stderr,paper/results/evaluation/compiled/a06d06d5ef7673b35734d38a81f9e71615bcbf52c1e8549f88e8e7a7bf6b9e16/compile.stdout,paper/results/evaluation/compiled/a06d06d5ef7673b35734d38a81f9e71615bcbf52c1e8549f88e8e7a7bf6b9e16/compile.time,9428.924620999169
a08c208ee0fd3d949a191629fb134e8963302a92c3606fde1da1f8c92436d71d,194c510560f5b763b582ba67a74890e241535b3638b1d129091bdc90e663b735,"['souffle', '-j', '1', '-o', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/compiled/a08c208ee0fd3d949a191629fb134e8963302a92c3606fde1da1f8c92436d71d/program', '/home/dhilipsiva/projects/dhilipsiva/nibli/paper/results/evaluation/inputs/comparison-chain-8-backward-s47-d10-m1-verdict/input.dl']",0.7,8.22,300,0,493916,2026-09-14T08:58:59.634795+00:00,ok,paper/results/evaluation/compiled/a08c208ee0fd3d949a191629fb134e8963302a92c3606fde1da1f8c92436d71d/compile.stderr,paper/results/evaluation/compiled/a08c208ee0fd3d949a191629fb134e8963302a92c3606fde1da1f8c92436d71d/compile.stdout,paper/results/evaluation/compiled/a08c208ee0fd3d949a191629fb134e8963302a92c3606fde1da1f8c92436d71d/compile.time,9115.764387999661
